Venue Name,Address,Fundraiser link,Facebook
"229, London","229 Great Portland Street, London, W1W 5PN",https://www.crowdfunder.co.uk/save229london,https://www.facebook.com/229london/
Ain't Nothin' But...Blues Bar,"20 Kingly St, Soho, London, W1B 5PZ",https://www.crowdfunder.co.uk/aintnothinbut,https://www.facebook.com/bluesbar1993/
Alexander's Live,"2 Rufus Court, Chester, CH1 2JW",https://www.crowdfunder.co.uk/alexanderslive,https://www.facebook.com/AlexandersLiveChester
Angola '76,"Shaftesbury, England, United Kingdom, SP7 8AD",,https://www.facebook.com/Angola76bar/
Arden Inn,"Abbey St, Accrington, Lancs, BB5 1EH",https://www.crowdfunder.co.uk/ardeninnlivemusicpub-accrington,https://www.facebook.com/ardeninnofficial
Audio,"14 Midland St, Glasgow, G1 4PP",https://www.crowdfunder.co.uk/saveaudioglasgow,https://www.audioglasgow.co.uk/
Band on the Wall,"27-29 Swan Street, Manchester, M4 5JZ",https://www.crowdfunder.co.uk/bandonthewall,https://www.facebook.com/bandonthewall/
Bannermans,"212 Cowgate, Edinburgh, EH1 1NQ",,https://www.facebook.com/BannermansBar/
Bermondsey Social Club,"19 Almond Rd, Bermondsey, London, SE16 3LR",https://www.crowdfunder.co.uk/bermondseysocialclub,https://www.facebook.com/BermondseySocialClub
Blackmarket VIP,"10 George St, Hastings, TN34 3EG",https://www.crowdfunder.co.uk/blackmarketvip,https://www.facebook.com/BlackmarketVIP
Boileroom,"13 Stokefields, Guildford, Surrey, GU1 4LS",https://www.crowdfunder.co.uk/help-the-boileroom-survive-the-covid-19-crisis-1#start,https://www.facebook.com/theboileroom
BOOM,"Byron Street Mills, Millwright Street, Leeds, LS2 7QG",https://www.crowdfunder.co.uk/saveboomleeds,https://www.facebook.com/boomleeds
Brickmakers (The) & B2,"496 Sprowston Rd, Norwich, NR3 4DY",https://www.crowdfunder.co.uk/savethebrickies,https://www.facebook.com/thebrickmakers
Bush Hall,"310 Uxbridge Road, London, W12 7LJ",https://www.crowdfunder.co.uk/help-bush-hall-survive-the-covid-19-crisis/backers?fbclid=IwAR2B1SJ4aDzl1LYhtZYJVmFB26XiEOE589r2EkF6-dYtzdf1HF1ujDMm_zY#start,https://www.facebook.com/BushHallMusic
Cafe Indie,"Cafe Indie, 169-173 High St, Scunthorpe DN15 6EH",,https://www.facebook.com/cafeindiependent/
Cavern,"83-84 Queen St, Exeter EX4 3RP",https://www.crowdfunder.co.uk/exetercavern-1,https://www.facebook.com/CavernClubExeter/
Chapel Arts Centre,"St James's Memorial Hall, Lower Borough Walls, Bath, BA1 1QR",https://www.crowdfunder.co.uk/save-chapel-arts-centre,https://www.facebook.com/ChapelArtsCentre/
Chaplins & The Cellar Bar,"529 Christchurch Rd, Boscombe, Bournemouth, BH1 4AG",https://www.crowdfunder.co.uk/savechaplins,https://www.facebook.com/chaplins.cellarbar
