"","title","id","url","partnerEvent","timeZone","cancelled","tba","local","sameRegion","soldOut","limitedAvailability","imageUrl","postponed","ticketingStatus","dateStart.seoDate","dateStart.localDate","dateStart.localTime","dateStart.displayTime","dateStart.dayOfMonth","dateStart.month","dateStart.year","dateStart.dayOfWeek","venue.city","venue.name","venue.url","dateEnd.seoDate","dateEnd.localDate","dateEnd.localTime","dateEnd.displayTime","dateEnd.dayOfMonth","dateEnd.month","dateEnd.year","dateEnd.dayOfWeek"
"1","Old Town Live","32005864DBDD127E","https://www.ticketweb.uk/event/old-town-live-the-hive-nightclub-venue-tickets/10513415?REFERRAL_ID=tmfeed",TRUE,"Europe/London",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"https://media.ticketmaster.co.uk/tm/en-gb/",NA,NA,"2020-04-30T19:00Z","2020-04-30T19:00","19:00","19:00",30,4,2020,4,"Edinburgh","The Hive Nightclub & Venue","/the-hive-nightclub-venue-tickets-edinburgh/venue/410167","no data","no data","no data","no data","no data","no data","no data","no data"
"2","Peaness","32005845C6FC4A7E","https://www.ticketweb.uk/event/peaness-clwb-ifor-bach-tickets/10421915?REFERRAL_ID=tmfeed",TRUE,"Europe/London",NA,FALSE,TRUE,FALSE,FALSE,FALSE,"https://media.ticketmaster.co.uk/tm/en-gb/",NA,NA,"2020-04-30T19:00Z","2020-04-30T19:00","19:00","19:00",30,4,2020,4,"Cardiff","Clwb Ifor Bach","/clwb-ifor-bach-tickets-cardiff/venue/254055","no data","no data","no data","no data","no data","no data","no data","no data"
"3","Protoje, Lila Ike & Sevana","1F00584FD08164C6","/protoje-lila-ike-sevana-birmingham-30-04-2020/event/1F00584FD08164C6",NA,"Europe/London",NA,TRUE,TRUE,FALSE,FALSE,FALSE,"https://media.ticketmaster.co.uk/tm/en-gb/dam/a/023/8ec6d9a4-067a-4891-ba3e-748015ce3023_1293221_EVENT_DETAIL_PAGE_16_9.jpg","TRUE","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"Birmingham","O2 Institute Birmingham","/o2-institute-birmingham-tickets-birmingham/venue/256199","no data","no data","no data","no data","no data","no data","no data","no data"
"4","Whitechapel","3600578BDE3782BE","/whitechapel-glasgow-30-04-2020/event/3600578BDE3782BE",NA,"Europe/London",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"https://media.ticketmaster.co.uk/tm/en-gb/",NA,NA,"2020-04-30T19:00Z","2020-04-30T19:00","19:00","19:00",30,4,2020,4,"Glasgow","SWG3","/swg3-tickets-glasgow/venue/444694","no data","no data","no data","no data","no data","no data","no data","no data"
"5","Believe - The Cher Songbook","360056BF90FD37B0","/believe-the-cher-songbook-dundee-30-04-2020/event/360056BF90FD37B0",NA,"Europe/London",NA,FALSE,TRUE,FALSE,FALSE,FALSE,"https://media.ticketmaster.co.uk/tm/en-gb/dam/a/61b/6be4a832-d33e-4b51-b82a-0b9e94c9c61b_909671_EVENT_DETAIL_PAGE_16_9.jpg",NA,"UNKNOWN","2020-04-30T19:30Z","2020-04-30T19:30","19:30","19:30",30,4,2020,4,"Dundee","Whitehall Theatre","/whitehall-theatre-tickets-dundee/venue/444668","no data","no data","no data","no data","no data","no data","no data","no data"
"6","Callaghan","3200576BDE65B3A6","https://www.ticketweb.uk/event/callaghan-gullivers-tickets/10081585?REFERRAL_ID=tmfeed",TRUE,"Europe/London",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"https://media.ticketmaster.co.uk/tm/en-gb/dam/a/03b/5b285795-5bfd-4279-943f-792d2493303b_1204141_EVENT_DETAIL_PAGE_16_9.jpg",NA,NA,"2020-04-30T19:30Z","2020-04-30T19:30","19:30","19:30",30,4,2020,4,"Manchester","Manchester Gullivers","/manchester-gullivers-tickets-manchester/venue/256552","no data","no data","no data","no data","no data","no data","no data","no data"
"7","Eileen Rose","32005782D6A2DD3D","https://www.ticketweb.uk/event/eileen-rose-cluny-2-tickets/10183995?REFERRAL_ID=tmfeed",TRUE,"Europe/London",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"https://media.ticketmaster.co.uk/tm/en-gb/",NA,NA,"2020-04-30T19:30Z","2020-04-30T19:30","19:30","19:30",30,4,2020,4,"Newcastle upon Tyne, NE1 2PQ","Cluny 2","/cluny-2-tickets-newcastle-upon-tyne-ne1-2pq/venue/414316","no data","no data","no data","no data","no data","no data","no data","no data"
"8","Holy F*CK","32005784B378DF14","https://www.ticketweb.uk/event/holy-fck-yes-tickets/10193175?REFERRAL_ID=tmfeed",TRUE,"Europe/London",NA,FALSE,TRUE,FALSE,FALSE,FALSE,"https://media.ticketmaster.co.uk/tm/en-gb/dbimages/60834a.jpg",NA,NA,"2020-04-30T19:30Z","2020-04-30T19:30","19:30","19:30",30,4,2020,4,"Manchester","YES","/yes-tickets-manchester/venue/409622","no data","no data","no data","no data","no data","no data","no data","no data"
"9","Shopping","3200583CF4B338D5","https://www.ticketweb.uk/event/shopping-brudenell-social-club-tickets/10388745?REFERRAL_ID=tmfeed",TRUE,"Europe/London",NA,FALSE,TRUE,FALSE,FALSE,FALSE,"https://media.ticketmaster.co.uk/tm/en-gb/",NA,NA,"2020-04-30T19:30Z","2020-04-30T19:30","19:30","19:30",30,4,2020,4,"Leeds","Brudenell Social Club","/brudenell-social-club-tickets-leeds/venue/434834","no data","no data","no data","no data","no data","no data","no data","no data"
"10","Song Suffragettes *Postponed*","32005836BA152FDA","https://www.ticketweb.uk/event/song-suffragettes-postponed-bush-hall-tickets/10355115?REFERRAL_ID=tmfeed",TRUE,"Europe/London",NA,FALSE,TRUE,FALSE,FALSE,FALSE,"https://media.ticketmaster.co.uk/tm/en-gb/",NA,NA,"2020-04-30T19:30Z","2020-04-30T19:30","19:30","19:30",30,4,2020,4,"London","Bush Hall","/bush-hall-tickets-london/venue/255869","no data","no data","no data","no data","no data","no data","no data","no data"
